F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 I root         178       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_1]
1 S root         195       2  0   9   - -     0 -      Jan04 ?        00:00:00 [irq/16-vmwgfx]
1 I root         196       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [ttm_swap]
1 S root         197       2  0   9   - -     0 -      Jan04 ?        00:00:00 [card0-crtc0]
1 S root         199       2  0   9   - -     0 -      Jan04 ?        00:00:00 [card0-crtc1]
1 S root         200       2  0   9   - -     0 -      Jan04 ?        00:00:00 [card0-crtc2]
1 S root         201       2  0   9   - -     0 -      Jan04 ?        00:00:00 [card0-crtc3]
1 S root         202       2  0   9   - -     0 -      Jan04 ?        00:00:00 [card0-crtc4]
1 S root         203       2  0   9   - -     0 -      Jan04 ?        00:00:00 [card0-crtc5]
1 S root         204       2  0   9   - -     0 -      Jan04 ?        00:00:00 [card0-crtc6]
1 S root         205       2  0   9   - -     0 -      Jan04 ?        00:00:00 [card0-crtc7]
1 S root         222       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_2]
1 I root         223       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_2]
1 S root         224       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_3]
1 I root         225       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_3]
1 S root         227       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_4]
1 I root         228       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_4]
1 S root         229       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_5]
1 I root         230       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_5]
1 S root         231       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_6]
1 I root         232       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_6]
1 S root         234       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_7]
1 I root         235       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_7]
1 S root         237       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_8]
1 I root         238       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_8]
1 S root         239       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_9]
1 I root         240       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_9]
1 S root         241       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_10]
1 I root         242       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_10]
1 S root         243       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_11]
1 I root         244       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_11]
1 S root         246       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_12]
1 I root         248       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_12]
1 S root         250       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_13]
1 I root         251       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_13]
1 S root         252       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_14]
1 I root         253       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_14]
1 S root         255       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_15]
1 I root         256       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_15]
1 S root         257       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_16]
1 I root         258       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_16]
1 S root         259       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_17]
