F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 S root         128       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/43-pciehp]
1 S root         129       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/44-pciehp]
1 S root         130       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/45-pciehp]
1 S root         131       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/46-pciehp]
1 S root         132       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/47-pciehp]
1 S root         133       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/48-pciehp]
1 S root         134       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/49-pciehp]
1 S root         135       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/50-pciehp]
1 S root         136       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/51-pciehp]
1 S root         137       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/52-pciehp]
1 S root         138       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/53-pciehp]
1 S root         139       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/54-pciehp]
1 S root         140       2  0   9   - -     0 irq_th 02:52 ?        00:00:00 [irq/55-pciehp]
1 I root         141       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [acpi_thermal_pm]
1 S root         143       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_0]
1 I root         144       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_0]
1 S root         145       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_1]
1 I root         146       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_1]
1 I root         147       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [vfio-irqfd-clea]
1 I root         149       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [ipv6_addrconf]
1 I root         159       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [kstrp]
1 I root         162       2  0  60 -20 -     0 worker 02:52 ?        00:00:00 [kworker/u257:0-hci0]
1 I root         175       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [charger_manager]
